sku,Description,price
02-SSC-3430,DNS FILTERING SERVICE FOR NSSP 11700 5YR,39162.76
02-SSC-8397,SONICWALL NSSP 10700,39095.00
02-SSC-1717,SONICWALL NSSP 10700 HIGH AVAILABILITY,39095.00
02-SSC-3569,SONICWALL NSSP 10700 TOTAL SECURE - ADVANCED EDITION 1YR,70235.00
02-SSC-3625,SONICWALL NSSP 10700 TOTAL SECURE - ESSENTIAL EDITION 1YR,67590.00
02-SSC-9942,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 10700 1YR,33151.50
02-SSC-9943,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 10700 2YR,59678.00
02-SSC-9944,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 10700 3YR,84540.30
02-SSC-9945,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 10700 4YR,112715.10
02-SSC-9946,ADVANCED PROTECTION SERVICE SUITE FOR NSSP 10700 5YR,140900.50
02-SSC-9990,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 10700 1YR,30665.80
02-SSC-9991,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 10700 2YR,55194.20
02-SSC-9992,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 10700 3YR,78201.50
02-SSC-9993,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 10700 4YR,104261.60
02-SSC-9994,ESSENTIAL PROTECTION SERVICE SUITE FOR NSSP 10700 5YR,130327.00
02-SSC-9948,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 10700 1YR,10361.50
02-SSC-9949,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 10700 2YR,18650.70
02-SSC-9950,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 10700 3YR,27968.10
02-SSC-9951,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 10700 4YR,37296.10
02-SSC-9952,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 10700 5YR,46618.80
02-SSC-9960,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 10700 1YR,11607.00
02-SSC-9961,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 10700 2YR,20887.30
02-SSC-9962,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 10700 3YR,31328.30
02-SSC-9963,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 10700 4YR,41769.30
02-SSC-9964,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 10700 5YR,52215.60
02-SSC-9966,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 10700 1YR",12433.80
02-SSC-9967,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 10700 2YR",22376.60
02-SSC-9968,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 10700 3YR",33564.90
02-SSC-9969,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 10700 4YR",44753.20
02-SSC-9970,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 10700 5YR",55946.80
02-SSC-9954,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 10700 1YR,8289.20
02-SSC-9955,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 10700 2YR,14919.50
02-SSC-9956,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 10700 3YR,22376.60
02-SSC-9957,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 10700 4YR,29833.70
02-SSC-9958,COMPREHENSIVE ANTISPAM SERVICE FOR NSSP 10700 5YR,37296.10
02-SSC-9936,24X7 SUPPORT FOR NSSP 10700 1YR,9534.70
02-SSC-9937,24X7 SUPPORT FOR NSSP 10700 2YR,17156.10
02-SSC-9938,24X7 SUPPORT FOR NSSP 10700 3YR,25731.50
02-SSC-9939,24X7 SUPPORT FOR NSSP 10700 4YR,34317.50
02-SSC-9940,24X7 SUPPORT FOR NSSP 10700 5YR,42892.90
02-SSC-9972,STANDARD SUPPORT FOR NSSP 10700 1YR,7043.70
02-SSC-9973,STANDARD SUPPORT FOR NSSP 10700 2YR,12677.60
02-SSC-9974,STANDARD SUPPORT FOR NSSP 10700 3YR,19021.70
02-SSC-9975,STANDARD SUPPORT FOR NSSP 10700 4YR,25360.50
02-SSC-9976,STANDARD SUPPORT FOR NSSP 10700 5YR,31699.30
02-SSC-9978,DNS FILTERING SERVICE FOR NSSP 10700 1YR,7044.76
02-SSC-9979,DNS FILTERING SERVICE FOR NSSP 10700 2YR,12680.78
02-SSC-9980,DNS FILTERING SERVICE FOR NSSP 10700 3YR,19021.70
02-SSC-9981,DNS FILTERING SERVICE FOR NSSP 10700 4YR,25361.56
02-SSC-9982,DNS FILTERING SERVICE FOR NSSP 10700 5YR,31702.48
01-SSC-6588,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSSP 12400 1YR,107739.85
01-SSC-6598,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 12400 1YR,25857.56
01-SSC-7698,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 12400 1YR,43095.94
01-SSC-7853,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 12400 1YR",38786.35
01-SSC-6384,24X7 SUPPORT FOR NSSP 12400 1YR,33040.23
01-SSC-1213,SONICWALL NSSP 12000 SERIES SYSTEM FAN FRU,750.00
01-SSC-1215,SONICWALL NSSP 12000 SERIES POWER SUPPLY AC FRU,1800.00
01-SSC-6591,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSSP 12800 1YR,160797.66
01-SSC-7178,CAPTURE ADVANCED THREAT PROTECTION FOR NSSP 12800 1YR,38591.44
01-SSC-7850,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSSP 12800 1YR,64319.06
01-SSC-7879,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSSP 12800 1YR",57887.16
01-SSC-6498,24X7 SUPPORT FOR NSSP 12800 1YR,49311.29
01-SSC-0200,SONICWALL SUPERMASSIVE 9800,54995.00
01-SSC-0801,SONICWALL SUPERMASSIVE 9800 HIGH AVAILABILITY,38497.00
01-SSC-0312,SONICWALL SUPERMASSIVE 9800 TOTAL SECURE- ADVANCED EDITION 1YR,89092.00
01-SSC-1183,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR SUPERMASSIVE 9800 1YR,66608.01
01-SSC-1188,CAPTURE ADVANCED THREAT PROTECTION FOR SUPERMASSIVE 9800 1YR,21486.39
01-SSC-0821,CONTENT FILTERING SERVICE PREMIUM EDITION FOR SUPERMASSIVE 9800 1YR,25784.06
01-SSC-0839,"INTRUSION PREVENTION, ANTI-MALWARE AND APPLICATION CONTROL FOR SUPERMASSIVE 9800 1YR",23635.23
01-SSC-0815,24X7 SUPPORT FOR SUPERMASSIVE 9800 1YR,24709.65
01-SSC-0804,SUPERMASSIVE 9800 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,17652.86
01-SSC-1943,SONICWALL NSA 9650,39945.75
01-SSC-3221,SONICWALL NSA 9650 HIGH AVAILABILITY,32895.00
01-SSC-3475,SONICWALL NSA 9650 TOTALSECURE ADVANCED EDITION 1YR,77995.00
01-SSC-2036,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSA 9650 1YR,48801.36
01-SSC-2042,CAPTURE ADVANCED THREAT PROTECTION FOR NSA 9650 1YR,15742.38
01-SSC-2136,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 9650 1YR,18890.85
01-SSC-2142,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 9650 1YR",17316.61
01-SSC-1989,24X7 SUPPORT FOR NSA 9650 1YR,18103.74
01-SSC-2206,HA CONVERSION LICENSE TO STANDALONE UNIT FOR NSA 9650,26081.25
01-SSC-3880,SONICWALL SUPERMASSIVE 9600,39995.00
01-SSC-3881,SONICWALL SUPERMASSIVE 9600 HIGH AVAILABILITY,27997.00
01-SSC-1719,SONICWALL SUPERMASSIVE 9600 TOTAL SECURE- ADVANCED EDITION 1YR,64792.00
01-SSC-1590,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR SUPERMASSIVE 9600 1YR,48440.59
01-SSC-1595,CAPTURE ADVANCED THREAT PROTECTION FOR SUPERMASSIVE 9600 1YR,15625.94
01-SSC-4106,24X7 SUPPORT FOR SUPERMASSIVE 9600 1YR,17970.11
01-SSC-4112,CONTENT FILTERING SERVICE PREMIUM EDITION FOR SUPERMASSIVE 9600 1YR,18751.51
01-SSC-4130,"INTRUSION PREVENTION, ANTI-MALWARE AND APPLICATION CONTROL FOR SUPERMASSIVE 9600 1YR",17188.73
01-SSC-4482,SUPERMASSIVE 9600 HIGH AVAILABILITY CONVERSION LICENSE TO STANDALONE UNIT,20862.86
01-SSC-1942,SONICWALL NSA 9450,32720.75
01-SSC-3220,SONICWALL NSA 9450 HIGH AVAILABILITY,26945.00
01-SSC-4358,SONICWALL NSA 9450 TOTALSECURE ADVANCED EDITION 1YR,64535.00
01-SSC-0414,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR NSA 9450 1YR,37266.50
01-SSC-0855,CAPTURE ADVANCED THREAT PROTECTION FOR NSA 9450 1YR,12021.45
01-SSC-1158,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR NSA 9450 1YR,14425.74
01-SSC-1196,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR NSA 9450 1YR",13223.60
01-SSC-0407,24X7 SUPPORT FOR NSA 9450 1YR,13824.66
01-SSC-1503,HA CONVERSION LICENSE TO STANDALONE UNIT FOR NSA 9450,17334.00
01-SSC-3800,SONICWALL SUPERMASSIVE 9400,34995.00
01-SSC-3801,SONICWALL SUPERMASSIVE 9400 HIGH AVAILABILITY,24497.00
01-SSC-1718,SONICWALL SUPERMASSIVE 9400 TOTAL SECURE- ADVANCED EDITION 1YR,56692.00
01-SSC-1580,ADVANCED GATEWAY SECURITY SUITE BUNDLE FOR SUPERMASSIVE 9400 1YR,42384.79
01-SSC-1585,CAPTURE ADVANCED THREAT PROTECTION FOR SUPERMASSIVE 9400 1YR,13672.45
01-SSC-4142,24X7 SUPPORT FOR SUPERMASSIVE 9400 1YR,15723.61
